"original_language_code","target_language_code","original_term","translated_term","description","kind"
"es","fr","Medano","Medano","","name"
"es","de","Medano","Medano","","name"
"es","it","Medano","Medano","","name"
"es","en","Nest","Nest","Brand","name"
"es","fr","Nest","Nest","Brand","name"
"es","de","Nest","Nest","Brand","name"
"es","it","Nest","Nest","Brand","name"
"es","en","Nest Arena","Nest Arena","Hostel","name"
"es","fr","Nest Arena","Nest Arena","Hostel","name"
"es","de","Nest Arena","Nest Arena","Hostel","name"
"es","it","Nest Arena","Nest Arena","Hostel","name"
"es","en","Nest Cisne","Nest Cisne","Hostel","name"
"es","fr","Nest Cisne","Nest Cisne","Hostel","name"
"es","de","Nest Cisne","Nest Cisne","Hostel","name"
"es","it","Nest Cisne","Nest Cisne","Hostel","name"
"es","en","Nest Flamingo","Nest Flamingo","Hostel","name"
"es","fr","Nest Flamingo","Nest Flamingo","Hostel","name"
"es","de","Nest Flamingo","Nest Flamingo","Hostel","name"
"es","it","Nest Flamingo","Nest Flamingo","Hostel","name"
"es","en","Nest Hostel","Nest Hostel","Brand","name"
"es","fr","Nest Hostel","Nest Hostel","Brand","name"
"es","de","Nest Hostel","Nest Hostel","Brand","name"
"es","it","Nest Hostel","Nest Hostel","Brand","name"
"es","en","Nest Hostels","Nest Hostels","Brand","name"
"es","fr","Nest Hostels","Nest Hostels","Brand","name"
"es","de","Nest Hostels","Nest Hostels","Brand","name"
"es","it","Nest Hostels","Nest Hostels","Brand","name"
"es","en","Nest Los Amigos","Nest Los Amigos","Hostel","name"
"es","fr","Nest Los Amigos","Nest Los Amigos","Hostel","name"
"es","de","Nest Los Amigos","Nest Los Amigos","Hostel","name"
"es","it","Nest Los Amigos","Nest Los Amigos","Hostel","name"
"es","en","Nest Pass","Nest Pass","Brand offer","name"
"es","fr","Nest Pass","Nest Pass","Brand offer","name"
"es","de","Nest Pass","Nest Pass","Brand offer","name"
"es","it","Nest Pass","Nest Pass","Brand offer","name"
"es","en","Nest Pass month","Nest Pass month","Brand","name"
"es","fr","Nest Pass month","Nest Pass month","Brand","name"
"es","de","Nest Pass month","Nest Pass month","Brand","name"
"es","it","Nest Pass month","Nest Pass month","Brand","name"
"es","en","Nest Pass week","Nest Pass week","Brand","name"
"es","fr","Nest Pass week","Nest Pass week","Brand","name"
"es","de","Nest Pass week","Nest Pass week","Brand","name"
"es","it","Nest Pass week","Nest Pass week","Brand","name"
"es","en","Nest Puerto","Nest Puerto","Hostel","name"
"es","fr","Nest Puerto","Nest Puerto","Hostel","name"
"es","de","Nest Puerto","Nest Puerto","Hostel","name"
"es","it","Nest Puerto","Nest Puerto","Hostel","name"
"es","en","Nest Staff","Nest Staff","Brand","name"
"es","fr","Nest Staff","Nest Staff","Brand","name"
"es","de","Nest Staff","Nest Staff","Brand","name"
"es","it","Nest Staff","Nest Staff","Brand","name"
"es","en","Nest Team","Nest Team","Brand","name"
"es","fr","Nest Team","Nest Team","Brand","name"
"es","de","Nest Team","Nest Team","Brand","name"
"es","it","Nest Team","Nest Team","Brand","name"
"es","en","Nests","Nests","Brand","name"
"es","fr","Nests","Nests","Brand","name"
"es","de","Nests","Nests","Brand","name"
"es","it","Nests","Nests","Brand","name"
"es","en","Nests Hostel","Nests Hostel","Brand","name"
"es","fr","Nests Hostel","Nests Hostel","Brand","name"
"es","de","Nests Hostel","Nests Hostel","Brand","name"
"es","it","Nests Hostel","Nests Hostel","Brand","name"
"es","en","Nests Hostels","Nests Hostels","Brand","name"
"es","fr","Nests Hostels","Nests Hostels","Brand","name"
"es","de","Nests Hostels","Nests Hostels","Brand","name"
"es","it","Nests Hostels","Nests Hostels","Brand","name"
"es","en","Nests Staff","Nests Staff","Brand","name"
"es","fr","Nests Staff","Nests Staff","Brand","name"
"es","de","Nests Staff","Nests Staff","Brand","name"
"es","it","Nests Staff","Nests Staff","Brand","name"
"es","en","Nests Team","Nests Team","Brand","name"
"es","fr","Nests Team","Nests Team","Brand","name"
"es","de","Nests Team","Nests Team","Brand","name"
"es","it","Nests Team","Nests Team","Brand","name"
"es","en","Puerto Nest","Puerto Nest","Hostel","name"
"es","fr","Puerto Nest","Puerto Nest","Hostel","name"
"es","de","Puerto Nest","Puerto Nest","Hostel","name"
"es","it","Puerto Nest","Puerto Nest","Hostel","name"
"es","en","Puerto Nests","Puerto Nests","Hostel","name"
"es","fr","Puerto Nests","Puerto Nests","Hostel","name"
"es","de","Puerto Nests","Puerto Nests","Hostel","name"
"es","it","Puerto Nests","Puerto Nests","Hostel","name"
"es","en","Surf Camp","Surf Camp","Experience","name"
"es","fr","Surf Camp","Surf Camp","Experience","name"
"es","de","Surf Camp","Surf Camp","Experience","name"
"es","it","Surf Camp","Surf Camp","Experience","name"
